pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
71.0,-101.4981,180.0,top,C1,,,C_Disc_D3.0mm_W2.0mm_P2.50mm,100nF,tht
55.4315,-26.5969,0.0,top,J1,,,EXL100_Cartridge,EXL100 Cartridge,tht
49.0,-106.0,180.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10KΩ,tht
49.0,-110.0,180.0,top,R2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10KΩ,tht
49.0,-114.0,180.0,top,R3,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10KΩ,tht
49.08,-118.0,180.0,top,R4,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10KΩ,tht
60.38,-115.0,90.0,top,SW1,,,SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm,SW_DIP_x04,tht
73.05,-81.38,-90.0,top,U1,,,DIP-32_W15.24mm_Socket,27C040,tht
